prompt,classname,classidx
"a photo of a DHC-8-100, a type of aircraft.",DHC-8-100,60
"a photo of a DHC-8-300, a type of aircraft.",DHC-8-300,61
"a photo of a DR-400, a type of aircraft.",DR-400,62
"a photo of a Dornier 328, a type of aircraft.",Dornier 328,63
"a photo of a E-170, a type of aircraft.",E-170,64
"a photo of a E-190, a type of aircraft.",E-190,65
"a photo of a E-195, a type of aircraft.",E-195,66
"a photo of a EMB-120, a type of aircraft.",EMB-120,67
"a photo of a ERJ 135, a type of aircraft.",ERJ 135,68
"a photo of a ERJ 145, a type of aircraft.",ERJ 145,69
"a photo of a Embraer Legacy 600, a type of aircraft.",Embraer Legacy 600,70
"a photo of a Eurofighter Typhoon, a type of aircraft.",Eurofighter Typhoon,71
"a photo of a F-16A/B, a type of aircraft.",F-16A_B,72
"a photo of a F/A-18, a type of aircraft.",F_A-18,73
"a photo of a Falcon 2000, a type of aircraft.",Falcon 2000,74
"a photo of a Falcon 900, a type of aircraft.",Falcon 900,75
"a photo of a Fokker 100, a type of aircraft.",Fokker 100,76
"a photo of a Fokker 50, a type of aircraft.",Fokker 50,77
"a photo of a Fokker 70, a type of aircraft.",Fokker 70,78
"a photo of a Global Express, a type of aircraft.",Global Express,79
"a photo of a Gulfstream IV, a type of aircraft.",Gulfstream IV,80
"a photo of a Gulfstream V, a type of aircraft.",Gulfstream V,81
"a photo of a Hawk T1, a type of aircraft.",Hawk T1,82
"a photo of a Il-76, a type of aircraft.",Il-76,83
"a photo of a L-1011, a type of aircraft.",L-1011,84
"a photo of a MD-11, a type of aircraft.",MD-11,85
"a photo of a MD-80, a type of aircraft.",MD-80,86
"a photo of a MD-87, a type of aircraft.",MD-87,87
"a photo of a MD-90, a type of aircraft.",MD-90,88
"a photo of a Metroliner, a type of aircraft.",Metroliner,89
"a photo of a Model B200, a type of aircraft.",Model B200,90
"a photo of a PA-28, a type of aircraft.",PA-28,91
"a photo of a SR-20, a type of aircraft.",SR-20,92
"a photo of a Saab 2000, a type of aircraft.",Saab 2000,93
"a photo of a Saab 340, a type of aircraft.",Saab 340,94
"a photo of a Spitfire, a type of aircraft.",Spitfire,95
"a photo of a Tornado, a type of aircraft.",Tornado,96
"a photo of a Tu-134, a type of aircraft.",Tu-134,97
"a photo of a Tu-154, a type of aircraft.",Tu-154,98
"a photo of a Yak-42, a type of aircraft.",Yak-42,99
